person_id,license_plate,vin,color,year
8e57007f-82e8-40f4-b268-b72e4f6ccab8,HT8 H7X,GT6EVC3Z51M6FK90T,SlateGray,2019
8e57007f-82e8-40f4-b268-b72e4f6ccab8,ASC 600,B4K32PV51ZF87HTAN,Yellow,1995
6fe40b00-89ce-4599-adc5-f6fd6f1df3e5,765-SEN,42GKSNSE9FUWB29WS,Sienna,1974
c7c8d8fe-d874-423e-bcea-bf3e562bfbd9,KFS-186,KCH4X6JX81XWGMEBD,Lavender,1990
c7c8d8fe-d874-423e-bcea-bf3e562bfbd9,3VB6427,6M1AT49280XGVF14U,Cyan,2010
0479fe02-baf9-4bb7-9805-95eb8cf3f7fd,510Q5,7PNNRCTT48YM8AZU2,AntiqueWhite,2002
0479fe02-baf9-4bb7-9805-95eb8cf3f7fd,212 YMS,JZ015ZTW0G59UXRNM,Turquoise,1990
0479fe02-baf9-4bb7-9805-95eb8cf3f7fd,569 XUA,P0YL78EL0L01S967H,MidnightBlue,2004
aa381471-e67b-4517-9737-b415d349736b,285 UOD,8NEEEUR81YZK5L6UL,DarkSalmon,1982
0a554444-aa5f-47ac-9bfb-463000722994,301 6KY,FR5UNS4W3PVY6VBMG,LightSteelBlue,2020
10c6ffd6-6904-44dc-a516-d6b350e0a2fd,2UIZ752,96M51SM58FV8SGGM1,Maroon,2009
cd2ff72f-f47b-48b6-8a54-e30c4bd7b56c,589 6FK,1DNXBW0P5TTUFAY3E,OldLace,2020
cd2ff72f-f47b-48b6-8a54-e30c4bd7b56c,69-9886V,J4KD0NA71K36UDB74,DarkGreen,1993
dfe4a4e2-2b6c-474b-86ed-0108b152144c,NPB-591,LMHMELFZ4J8DSFETN,LightGreen,2021
dfe4a4e2-2b6c-474b-86ed-0108b152144c,4WQ 312,L814YP967TJC8UYAZ,Beige,1991
09eba336-eb48-4746-a57d-1e00f44fa002,G 045845,JDH9SSXV7ZJA37R3J,LightCoral,1970
09eba336-eb48-4746-a57d-1e00f44fa002,346 EF6,RX8SVJ063NGS4LV43,MistyRose,1992
07de8d79-4ca6-4416-bb4f-a903971032ec,67D 6399,F7RN4JKX0FEEV6A5R,SlateGray,2003
d3034930-8040-43a3-bcd8-0198274b9fac,72W C37,ARA6A8FN8FTZ0W8LC,MediumTurquoise,2011
d3034930-8040-43a3-bcd8-0198274b9fac,07L YR2,G2TPYWUB15C8YBYUJ,MistyRose,1995
f9be96b0-99dc-42b7-9974-17d5e0ba7312,74-33081,J2FUCUHS6BZ625RJF,DeepSkyBlue,1999
f9be96b0-99dc-42b7-9974-17d5e0ba7312,8G DP790,YC9U16AL9HL2H1NZB,SlateGray,1999
f9be96b0-99dc-42b7-9974-17d5e0ba7312,2CF 314,RPHX79ZB2XNAKHTUG,DarkKhaki,2001
6f39490d-f435-4c18-9ada-d47f8ecff4a5,43S 3270,F7TWZPZT40DGX174S,Sienna,2020
bd92a08a-00df-40cd-81c1-b8aab5e4c1a3,861-393,888EP6YJ0K9TTUF7P,GoldenRod,1985
2d337c15-e8e1-4997-a7a6-09bfe6b6daa6,HLO 444,ZL0PFJMH7RZ4EX22V,Green,1970
2d337c15-e8e1-4997-a7a6-09bfe6b6daa6,2PC 129,WGHU483S7PU66AD9L,SlateBlue,1984
a6bd21f8-1388-4f0b-97cd-d48e86e228d3,HOV 070,M8RZZB1R0ZUY9AC14,YellowGreen,1982
b937581f-0b6e-4d70-9cb1-e50b7c410e10,DMC 406,7GCTX8PE2XZEU9Z9Z,DarkGreen,2003
b251058f-33df-4bf7-8441-72d2765481ab,25-W436,3VUMKVP4X0ZS5H0HJ,Bisque,2016
b251058f-33df-4bf7-8441-72d2765481ab,667SH,AF4KDFEF6B80BXT7D,DarkBlue,2003
5073723c-c5df-4ae6-942e-3e874674100a,FUD-312,YMSZ9ZXG0FECG9K28,DarkViolet,1981
0be4f663-83d6-422b-af80-2aa1212a20e7,521 6JR,8KYK6JP8XGUM4S041,Chartreuse,1997
0be4f663-83d6-422b-af80-2aa1212a20e7,056 UNV,V6VARXT50NLMFFKMH,LightCyan,2001
0be4f663-83d6-422b-af80-2aa1212a20e7,893-QQFH,8SYSK56C7MWCV9LHU,LavenderBlush,2018
ec3352c8-2aba-4e56-9580-4c3cb9ed33d5,530-QBI,XDXPYK7X3BAJPSR82,Navy,1991
cf00ef52-1245-4e15-a6f0-9e310a638bd5,EYG-024,XSWDD8R70V7H74GHP,Violet,1983
e5c60225-56bc-4b3b-8d35-3794683b1909,MWA 456,64AKR4HC0XTW6S8TY,NavajoWhite,1974
7337d0af-d38b-4348-8688-315c540ebc5f,0RST 05,A8VYU9HG8343MTXE6,DarkGray,1976
97cb9258-f696-415d-b770-a3eae07c144b,8ED2970,THF8STGY895NPL264,PaleTurquoise,2024
c8a422f5-60ca-413e-8c42-50364e3c4337,285-QXC,U8V57CHB9AKZ2H9L2,Tan,1982
ef957632-d36f-47ee-bd28-c59fc2b7862f,OAZ 139,65MU5CSW1THFLXAE8,DarkSlateGray,2019
ef957632-d36f-47ee-bd28-c59fc2b7862f,M76 9SR,D97FJV1J5MTS2FHVZ,DarkSeaGreen,1980
16100a77-770e-4bff-9a4d-7cb4bdcf781c,06-72720,RC281H8K4U9MMX3GR,MediumPurple,1979
c70be594-ca73-4728-b5cb-b1e4a7cbaed8,779 6QZ,AJJ5RDJ69DVZTXH86,Orchid,1986
16f7cd70-629d-43c8-acec-6774c9798a87,C74-66A,2DXFYHM1XUG6UR6ME,Tomato,2020
16f7cd70-629d-43c8-acec-6774c9798a87,869-NDAB,FE26BCVX5HB65VJ2T,BlueViolet,2002
ed1a459e-4988-4758-ae84-427c5de76290,4T 72195,M03BC6RG3LBPKBCXU,DarkKhaki,1984
ed1a459e-4988-4758-ae84-427c5de76290,W 615479,LBM8FD83075NFXKL4,DarkBlue,2022
d82a82d1-82d2-44ae-a7f8-18f14ce9567e,7106,CJ7NLVWJ66U9LXGSU,MediumSlateBlue,2022
d82a82d1-82d2-44ae-a7f8-18f14ce9567e,5IC5028,KACAYF9C4NPD54LVT,MidnightBlue,2007
29a3e08f-bf38-4431-87d9-04855b964e7d,WZT-7671,HH0AAG8N77RZ61LJV,MintCream,1995
89e99270-7621-40f8-96e8-31d19bd3b2a2,2775,R5AJX1YS63F3FEZPP,PaleTurquoise,1984
89e99270-7621-40f8-96e8-31d19bd3b2a2,6DI29,AJ7P7F2V7EWJ60NL1,DarkSlateGray,2004
0aa00ef4-dbeb-4310-b763-db6bc3de4f80,SYH-0515,0TCGZ2TH4RPEAD1J2,LightSalmon,2000
0aa00ef4-dbeb-4310-b763-db6bc3de4f80,3225,C4C582GMX14X1CWEX,White,2015
f6c638ac-e79a-4300-8585-b6d566947238,R 587738,1J11AG0XXW2GW78EB,HoneyDew,2002
f6c638ac-e79a-4300-8585-b6d566947238,748 TNA,3VHA6SVA2PJLZ9SRV,LawnGreen,1976
f6c638ac-e79a-4300-8585-b6d566947238,X57 2KF,UFSJJDKT1VK6UXE49,SlateBlue,2022
386934f6-5730-4efd-afc3-9d9d42306340,0-35046Z,5DWFWV4J94YLWFGFG,LightCyan,2011
386934f6-5730-4efd-afc3-9d9d42306340,UT 5088,L982945917EZEREEB,Orange,2015
3e445cbc-f50a-4920-9b0c-b3172938e5f1,2Z LF766,AER56RYF7ZDSS45S1,Violet,1991
3e445cbc-f50a-4920-9b0c-b3172938e5f1,KKD 956,ZB3C60H89HG4JR2PZ,LightSeaGreen,2001
f0ca5cb3-3ad1-4e9b-bdab-ec36735ef65d,S29 2CN,HSFLKA8K4AXMZX190,LimeGreen,2008
f0ca5cb3-3ad1-4e9b-bdab-ec36735ef65d,GWD 644,RVZYSJXR1GUYEA0HX,Black,2018
62da156a-ad01-4ccf-9cee-b2be86ec871f,777-BQO,55UKJNG601C116F3U,MediumSpringGreen,1985
bc327bd0-4e67-4772-9830-b007e59b3cd2,7J983,NHGLYH6Z7TAM1DVMB,DarkGoldenRod,2006
c16282b5-0eeb-47ab-9e99-6174f2a5ed02,9-13252,J7PYP2HY2S8FLGT0C,LightSeaGreen,2022
ac93962f-15fa-4655-87e6-ceaba798ec09,HQ 48982,K3C3ESL36ZPB906T5,SkyBlue,2005
d588fa86-f5f1-4acf-b32c-0f211d1a81b5,CNL-079,020DY4TC7P3HA9TC4,DarkOrchid,1995
d588fa86-f5f1-4acf-b32c-0f211d1a81b5,MKN-2136,RYV1AGYV4LS19T1Z9,Indigo,1982
d588fa86-f5f1-4acf-b32c-0f211d1a81b5,0362,MMG68NUH54GDEPNXZ,DarkSlateBlue,1990
9018f094-6da5-4df0-a6ab-9a777eb8f126,WCK 120,JEHMBRC48TYYZ5H1C,DarkOrchid,1971
0e840317-24b5-4f5e-8602-41713cb20fe9,LOK5284,YYHBYXWA8N432P4GJ,Brown,1999
37242f85-1d63-42ec-a488-3ccd2d3b78d9,L56 6NV,25V5R7LE7N26AUCLF,LightSalmon,2006
331a63a8-9e84-425c-a10d-4ecb7c33b7af,20G JI7,N5TUPMHK3TJX24SEY,OrangeRed,2023
01a73f17-e348-442b-aa7f-92d138ba2ae6,64G 9153,NNLHF5UC4FWJUBXC5,Purple,2006
6c84cb48-7fc9-435b-8baf-0887177609b1,MFF-6823,AVZWUWB01A0BWHCZT,SteelBlue,2009
6c84cb48-7fc9-435b-8baf-0887177609b1,7OT8555,EYVM4DU70XPYWTMTP,YellowGreen,2000
6c84cb48-7fc9-435b-8baf-0887177609b1,S48-SON,SUTN566D3082RWU6B,Azure,1982
144da586-d685-4a40-a9a0-6ea06348f596,R06 7RI,70CXPVT3XT9Y862P0,CadetBlue,2013
2863bb9c-1ae2-45a2-9dbd-9108154b7668,UOS 359,3ER4F3431AX420B38,Chartreuse,1981
2863bb9c-1ae2-45a2-9dbd-9108154b7668,PFI 221,ZNA4VRC334PGP5JWU,DarkOrchid,1973
350cd1fb-46f5-477f-8e3d-9ce7105ac2ab,NQE-290,5A59BDU10VUKPD3TR,Beige,1988
d3a5cb57-2ed9-44b9-a5ce-44ebefc7321e,XS0 N2M,F0FF51JU605XWU20S,MediumOrchid,1975
b0646adc-5260-49fb-9763-28cb5ea7483e,396AAZ,VF4AWHB79U2EKSX1E,PeachPuff,2021
a428bd87-3c40-4291-b21c-94662832a9fb,034-VNU,V28W0RVE6RCC1M2TG,LightSlateGray,2002
a428bd87-3c40-4291-b21c-94662832a9fb,7TU X14,VBMZWTZF7Y3PTEEZ0,SkyBlue,1971
eb0c4c4d-986d-4ade-befa-3587e5b5202d,MLW 5179,8HNU82GP2ZUKJTDZX,LemonChiffon,2002
daed57a0-0aa7-4450-bd93-a040c2a4f4ef,0WN 849,WXW26GGK72B9DKRH6,DarkOrange,1977
e33749dd-58d9-4a00-a6e7-f8b17975ce8a,474-OMA,Z2CLNFYY4VTA6C5E9,DarkOliveGreen,1983
21d6397f-f3c5-4a20-9007-5565bbedae6e,488 7UM,WLP23L6R8M4VVSK2G,Yellow,1986
21d6397f-f3c5-4a20-9007-5565bbedae6e,6F642,GLS47ZUC47L70N88X,DeepSkyBlue,2005
705f2329-eed6-470d-83de-0aaaed5f34b9,5XW9228,3JW609EC914YAZE1S,Olive,2011
705f2329-eed6-470d-83de-0aaaed5f34b9,D72-GND,HJ8BTGVL0CC5T6UN9,CornflowerBlue,1972
d0235d3c-976c-4aa5-93a4-b72b0501b65e,FHF 2974,D0HR5YEX48087MW0P,ForestGreen,1997
d0235d3c-976c-4aa5-93a4-b72b0501b65e,284 SAE,2XRGF4AB7ZWUZY4GJ,LightGray,2021
04669508-8cec-4aa2-be40-066f1e9cadd1,554YO,N18F76LG9PFZHU1PF,DarkOrange,1978
04669508-8cec-4aa2-be40-066f1e9cadd1,4-I8354,94AET61X5Z6NT42MF,LightYellow,2016
04669508-8cec-4aa2-be40-066f1e9cadd1,14-4430N,14TC4ZF640L0EGB4M,HotPink,1973
025a5e5f-6754-4ba0-910f-2f6ab1d74c3a,60-7325E,X4X1HT018TJSH4V0D,MediumTurquoise,2015
141fdbc0-4ce4-4768-8c74-06680db3b331,SF9 F9X,YSZHH22302Y7ZYDAR,MidnightBlue,1977
141fdbc0-4ce4-4768-8c74-06680db3b331,223R6,KR4HPYTS0RP2WSPLR,Plum,2021
aef0b969-278a-4bbb-a108-00fd41c23f28,DBK 468,MNKC0U3M6PSU8DKD0,Azure,2013
aef0b969-278a-4bbb-a108-00fd41c23f28,867 VLF,D48W0GTG9D2V8H1SR,Azure,2007
e1b55163-68df-4994-aef4-c89a8f653b77,906 WUF,STK5ZNFF6CB17HLXZ,Sienna,2006
e1b55163-68df-4994-aef4-c89a8f653b77,2LL 872,ER68SVHJ3NWB2XLZ0,Green,1982
f59e3ef0-0b00-4778-84ff-fb3fb12b16d1,41-63765,NUZD2JBX24GLYU1S1,Bisque,1976
46583859-8ea4-49c1-af87-72aa00c3b243,067-GQT,MBGSNE4H887XH5CHR,SlateGray,1973
46583859-8ea4-49c1-af87-72aa00c3b243,2JG O60,77GNGSBA6V8FFTY7B,FloralWhite,1995
ebd614cd-8cd7-488b-9866-df934239d8f1,2825 QB,9466GM0R8UEABEL8Z,GreenYellow,1973
8d1330e4-89bb-44c7-bf71-dd5d651cb432,OMI-915,LLPK94HD1NJ6WBWT0,Peru,1974
8d1330e4-89bb-44c7-bf71-dd5d651cb432,15P•160,BAJDUXEK5P6A8CYK0,DarkSlateBlue,2019
8d1330e4-89bb-44c7-bf71-dd5d651cb432,ORU 173,4EDUZDX44DKUCKZNL,DarkOliveGreen,1992
e3f10d23-bb6f-44f1-959b-30cccfee7b20,3-H0103,GMN7HZJ53CURGW12F,DarkSalmon,1996
01d77eb9-afc6-4059-8ced-2a435efff859,NQR-7283,TY355A035VSL1XBYS,LightSalmon,2013
01d77eb9-afc6-4059-8ced-2a435efff859,958D,Y36142K344FW4UA1M,DarkRed,2001
01d77eb9-afc6-4059-8ced-2a435efff859,8449 VO,6XWZTTKG9RE0W0ZAJ,MediumSeaGreen,1975
373282fb-0693-417d-afbf-2642abe46ae6,207-BUV,BGJ2DLF5XC2F1X3S3,Orchid,2016
eaf7fbdf-81bc-4674-adad-e024bafd1f62,725 WBP,BAUMKC0P2XXEN28GM,DarkOliveGreen,2017
eaf7fbdf-81bc-4674-adad-e024bafd1f62,217-KBV,1CFHSHS45GL4D4V0D,PaleVioletRed,1993
3bbe641e-8f57-45e5-a445-c57962ab5c29,604348,1KZGXZF47XHBBTY0Z,LawnGreen,1985
abc78286-893f-4f51-a21b-574000c4fc0f,25LF334,FZECBT608K9LTB41C,DarkGray,2010
abc78286-893f-4f51-a21b-574000c4fc0f,58D•382,6LSVSAM73UKGTXDSL,Cornsilk,1994
2cc9e602-cccb-43fd-9017-e860176c29c2,684 5UI,Y085DFT42CMT5TBL3,SteelBlue,1973
2cc9e602-cccb-43fd-9017-e860176c29c2,BMC-727,3BJ0L4271ABYTKWW8,NavajoWhite,1992
3056a807-daff-4919-97d4-e40a3937d7dc,669-747,UD9NYH8M8PL7WRY2D,BlanchedAlmond,2007
3056a807-daff-4919-97d4-e40a3937d7dc,3375,3MZ0DYTL3NVUP9NAY,LavenderBlush,2001
c762ac27-a9a2-4edb-b144-c07c2374a1c8,24-E239,RFS1K0BW8K6JCJZNN,Brown,1980
c762ac27-a9a2-4edb-b144-c07c2374a1c8,76A NA5,G5YR6CH69PRA2RF0N,Lime,1977
c1c8a2c4-b493-429c-83a2-3d92de8450f7,064-RSJH,3FKRG68H51UYNSGTC,MintCream,1987
c1112aba-af77-4c6e-a598-52cf4b422389,7HH4778,3YUE0WSK0EMF9RN8R,Brown,1970
c1112aba-af77-4c6e-a598-52cf4b422389,04P 326,7TGSFWZFXSGP4CKC0,NavajoWhite,1999
36450efb-d355-4f13-82dc-a6623f54dde6,382-839,F2C1105878ZDUE6S3,Azure,1980
36450efb-d355-4f13-82dc-a6623f54dde6,6-59409,VF81YVXK29795TZUE,PaleGreen,1999
e87b14da-091c-4a74-965a-bd7f4d783706,WOT-419,51955NX800DLYGGCW,Pink,2010
6bb5a4a5-225d-41eb-a730-1ca1f6903cb8,HDZ M97,GPYGCTD970R88U358,PowderBlue,1978
6bb5a4a5-225d-41eb-a730-1ca1f6903cb8,MJF 999,HBDHY6EX91PFGG5A7,GoldenRod,1998
44170154-8358-453c-ad31-6b7b71334d1f,7JNI382,FT9R66WW8HU4XSG8Z,SeaShell,2016
44170154-8358-453c-ad31-6b7b71334d1f,48-TV28,5D1U1T5E16RH624K1,Coral,2004
81f938c4-8c35-460a-b60c-25e82fa6ce61,0EA58,74JW2M8369D9R0GL2,DarkMagenta,1987
ff11fc84-3c81-4f0d-9ca7-93fd38e686f4,7G M3286,H5BYR0DG90CYXW179,MediumVioletRed,1994
ff11fc84-3c81-4f0d-9ca7-93fd38e686f4,44X 9251,XJUYHZ9MXAUYSV32N,BlanchedAlmond,2007
4364e008-7823-43a4-84ea-668b4599fa0c,BTV 337,JHXH3GWS57R88H6EB,Lavender,1984
2f39333c-40ce-439f-b605-c531d78711ca,NY2 3693,3R2GSSCA5CE34M0Z6,LemonChiffon,1999
2f39333c-40ce-439f-b605-c531d78711ca,XGS-514,5GYE44VF5R9DU8PAU,LightSlateGray,1978
2f39333c-40ce-439f-b605-c531d78711ca,3046,7JHAKLFPX9Z504S5K,LightYellow,2002
65e7ec67-0362-4484-9a10-c8d0e452ae61,568 6AX,488F882K6U4UHZ4WN,Violet,1983
0418bc0c-30c9-48d4-9b5f-4440d686a131,875 SZ1,8T4MK0J73LSFEHZS2,Brown,1983
faa43d34-b504-4bde-a0d3-0cbd3b0e60d3,WQY 898,RWFP95ND0YTHMC2TW,DeepSkyBlue,1998
faa43d34-b504-4bde-a0d3-0cbd3b0e60d3,06-34826,LMSFFTVZ2KMFWUFLW,Chartreuse,1994
73d7e2c9-7c4a-48ca-bf50-ee1df7f3148a,287-GIY,325PPJK58KFTKF92W,MediumBlue,1993
73d7e2c9-7c4a-48ca-bf50-ee1df7f3148a,808 9GG,YB9WESPJ523JSEYHX,Sienna,2005
183e25e9-fa3d-42ae-85e3-5705802dba41,193-ODW,73BR0ST28LCB6UL96,DarkTurquoise,2011
cecac6f6-4203-47d6-b8a3-90b9c69a47da,439DR,4VPPP1VA2Z0B003AH,DeepPink,1989
cecac6f6-4203-47d6-b8a3-90b9c69a47da,62Z YW7,306SXZ7L9G2D6SSRK,RosyBrown,2009
cecac6f6-4203-47d6-b8a3-90b9c69a47da,GL 9570,WKX3W26K6M186NHEJ,Brown,1977
2f422cf5-9967-4caa-b354-45bb35283ccc,501-UYT,L6BNTRGC6XZ47SJ1Y,LightBlue,2018
bfddf157-c3ca-4996-a3c9-4ab2cde41c98,846-NGG,X452VLJ20B216ZUGR,PaleTurquoise,2018
bfddf157-c3ca-4996-a3c9-4ab2cde41c98,433420,BMS6U7YZ0SR2GHEKN,DodgerBlue,2024
6e68c6a6-817c-464e-a113-2d679be97e8b,ZTE-552,RDL9T7RYXFK1DG0H9,Indigo,1974
6e68c6a6-817c-464e-a113-2d679be97e8b,EMU 645,UDBCHT8CX5JW45BC8,MediumSpringGreen,2013
1b2e61ab-994b-4653-8129-abc8b26db71a,96S 4466,C7ACSFDM48KEGX8X6,LightSeaGreen,1974
495834c6-c0ff-4f3d-80e2-94face59ab45,JSL4559,SZSXGEA79FMHMB473,AliceBlue,2007
a4a62b03-5a65-472c-818c-b9b3a3eb7ad9,ZHJ 436,V7PNPY4F9V9D4TUPR,SandyBrown,2014
a4a62b03-5a65-472c-818c-b9b3a3eb7ad9,EPK 1423,JUYTWHEHXE1SREU5G,HoneyDew,1994
7863a0e1-9d09-4f81-a8a3-8455291046c3,XW6 2904,BWV32LW61EWJ4AJVA,DarkSlateBlue,1991
7863a0e1-9d09-4f81-a8a3-8455291046c3,53-ZI36,0MW0UT1G2YD8M26V2,OldLace,2002
32b2732a-f9c7-4ffa-b439-cb0e6bc8a40c,693-VRX,N3X3X63725J589BFT,MediumPurple,1980
32b2732a-f9c7-4ffa-b439-cb0e6bc8a40c,PG4 I4U,09PC245R9TM53XZ8A,DeepPink,1979
32b2732a-f9c7-4ffa-b439-cb0e6bc8a40c,ZAO 116,HE97EFM84ZVCDX6HJ,SkyBlue,2019
8b646552-bab0-43c9-98d8-c3e38c988e92,R95-69M,2HK3Z71Y457N1KRGU,LightSkyBlue,2018
8b646552-bab0-43c9-98d8-c3e38c988e92,04-F582,YNRMBXRC6V4YPXLR1,RosyBrown,1971
08302bcb-73dc-431e-bd52-01175bb72c92,AZ 1394,ZH2V0V85122S3WZHT,MistyRose,1983
08302bcb-73dc-431e-bd52-01175bb72c92,IJO-2435,HSESHTLV7MKAY3XGL,Wheat,1982
684071fc-61a6-4242-b99e-efae714991f3,SHN 6221,ZZSAMS60X037YVYAL,LightCoral,1998
a178baa0-48af-496b-9c42-3e192012528e,6VO 578,PGVM3XUZ12ZD7SG0F,LemonChiffon,2023
a178baa0-48af-496b-9c42-3e192012528e,W15-05Q,2YBYW5HZ9L5C1JFJV,DeepPink,2021
853ad2a5-7d9a-411e-8d94-56da4a06eca1,9-86108,PG6XYKFTX37KHA2X2,Orange,1982
853ad2a5-7d9a-411e-8d94-56da4a06eca1,9HU 324,42R5Y1TDX4XEV1C3T,LightYellow,2017
2e1d6f94-34d2-483b-80db-34b0116f4859,624-WCGS,XRCWK75P0G5R8CB1W,Bisque,1972
d0b249f3-7ecf-41a8-9aab-aaa579e51a53,90F 279,UM4R947014R2SKPZ9,Aqua,2014
d0b249f3-7ecf-41a8-9aab-aaa579e51a53,F41 2EZ,RG2CRR4K2KSG726XF,RosyBrown,1986
4deb05bb-e634-4b46-affc-8b437aa2c2dc,Z60-44R,AY98HXPL8D7F2XAD9,MediumSlateBlue,2022
202b9664-029f-4d28-9ca9-10dd88ec47df,HXS 812,61HT0M1E3CMZW8BT1,Tan,2016
9b0d5f02-dec9-4d51-9ff0-a63e10920024,HFQ-384,X3E09Y346ENTLB88V,SteelBlue,2004
bacbbe8b-e084-4c83-9ccf-d773f15ddd77,158 YPH,ZRXGXNNT2BF5E489X,PeachPuff,1995
bacbbe8b-e084-4c83-9ccf-d773f15ddd77,WID-9826,ZW0HYGU25W7GAMVPL,DarkOrchid,1993
bc32d2f9-f7e9-4314-b92a-71144eb7741e,6VLL 47,4WLGAF3E7YD06ADMG,LimeGreen,2006
bc32d2f9-f7e9-4314-b92a-71144eb7741e,028-KFV,D9MMUNKH1HEJDN2WK,MediumVioletRed,1989
97bab825-89c4-4075-98f4-a514a9f52d64,1-3412C,8J0JEARE00FJ8W5Y4,Green,1985
ee53f8b3-8c8e-492f-bda4-1409068b025a,HZH 864,L1WFWL5W8JBBME5ZP,Azure,1975
ee53f8b3-8c8e-492f-bda4-1409068b025a,44GV747,U3MM2CYE5V8DJ8V7M,LightGoldenRodYellow,2019
3ea1db63-2169-4edc-9814-c0f8ce1ede09,1UA 756,RD21G11J6ARA6Y4V7,MediumSeaGreen,1975
